TY,T1,AU,JO,VL,SP,PY,DA,SN,DO,UR,KW,AB,EP,IS,T2,We,In
JOUR,Affective awareness in neural sentiment analysis,"Xiang, Rong",Knowledge-Based Systems,226,107137,2021,2021/08/17/,0950-7051,https://doi.org/10.1016/j.knosys.2021.107137,https://www.sciencedirect.com/science/article/pii/S0950705121004007,Deep neural network,"Sentiment analysis is helpful to bestow ability of understanding human’s attitude in texts on artificial intelligence systems. In this area, text sentiment is usually signaled by a few indicative words that convey affective meanings and arouse readers’ collective emotions. However, most existing sentiment analysis models have predominantly featured through neural network architectures with end-to-end training manner and limited awareness of affective knowledge, which, as a result, often fails to pinpoint the essential features for sentiment prediction. In this work, we present a novel approach for sentiment analysis by fusing external affective knowledge into neural networks. The affective knowledge is distilled from two sentiment lexicons grounded by two psychological theories, e.g., the Affect Control Theory and word affections in terms of Valence, Arousal, and Dominance. To examine the effects of affective knowledge over sentiment analysis, we conduct cross-dataset and cross-model experiments along with a detailed ablation analysis. Results show that our proposed method outperforms trendy neural networks in all the five benchmarks with consistent and significant improvement (1.4% Accuracy in average). Further discussions demonstrate that all affective attributes exhibit positive effects to model enhancement and our model is robust to the change of lexicon size.",,,,,
,,"Li, Jing",,,,,,,,,Sentiment analysis,,,,,,
,,"Wan, Mingyu",,,,,,,,,Affective knowledge,,,,,,
,,"Gu, Jinghang",,,,,,,,,Sentiment lexicon,,,,,,
,,"Lu, Qin",,,,,,,,,,,,,,,
,,"Li, Wenjie",,,,,,,,,,,,,,,
,,"Huang, Chu-Ren",,,,,,,,,,,,,,,
JOUR,Emotion quantification and classification using the neutrosophic approach to deep learning,"Sharma, Mayukh",Applied Soft Computing,148,110896,2023,2023/11/01/,1568-4946,https://doi.org/10.1016/j.asoc.2023.110896,https://www.sciencedirect.com/science/article/pii/S1568494623009146,Neutrosophy,"Advancements in the rapidly evolving specialization of deep learning have aided in improving several natural language understanding tasks. Sentiment and emotion classification models have improved, but when it comes to fine-grained sentiment analysis, these models can perform better. Human sentiment in natural language is generally an intricate combination of emotions, which can sometimes be indeterminate, neutral, or ambiguous. In the case of fine-grained sentiment analysis, the sentiments can be very similar to each other and interconnected, e.g., anger and fear. Most deep learning systems try to solve the problem of fine-grained sentiment analysis as a classification problem. However, fine-grained sentiments might combine similar emotions with one primary emotion. Trying to solve the problem as a classification task can result in better performance on benchmarks but does not ensure a better understanding and representation of language. The proposed work explores applying neutrosophy for fine-grained sentiment analysis using large language models. Neutrosophy identifies neutralities and employs membership functions (neutral, positive, negative) to quantify an instance into Single Valued Neutrosophic Sets (SVNS). This paper introduces Refined Emotion Neutrosophic Sets (RENS) for emotions (with four emotions) and Refined Ekman’s Emotion Neutrosophic Sets (REENS) with seven emotions. In this paper, refined neutrosophic sets with membership functions are employed for each sentiment across a given taxonomy and assigned their values using the Neutrosophic Iterative Neural Clustering (NINC) algorithm proposed in this paper. It facilitates not only classifying sentiments but also quantifying the presence of each sentiment present in a given sample. It aids in better understanding and representation of samples across multiple sentiments, as in fine-grained sentiment analysis, experiments are performed on the GoEmotions dataset. The proposed approach performs on par with cross-entropy deep learning classifiers and is reproducible across different pre-trained language models.",,,,,
,,"Kandasamy, Ilanthenral",,,,,,,,,Sentiment analysis,,,,,,
,,"Vasantha, W.B.",,,,,,,,,Refined emotion neutrosophic set,,,,,,
,,,,,,,,,,,Emotion quantification,,,,,,
,,,,,,,,,,,Neutrosophic iterative neural clustering (NINC),,,,,,
JOUR,An adversarial training method for text classification,"Liu, Xiaoyang",Journal of King Saud University - Computer and Information Sciences,35,101697,2023,2023/09/01/,1319-1578,https://doi.org/10.1016/j.jksuci.2023.101697,https://www.sciencedirect.com/science/article/pii/S1319157823002513,Gradient reversal,"Text classification is an emerging topic in the field of text data mining, but the current methods of deducing sentence polarity have two major shortcomings: on the one hand, there is currently a lack of a large and well-curated corpus; on the other hand, current solutions based on deep learning are particularly vulnerable to attacks from adversarial samples. To overcome the limitations above, we propose an adversarial training method HNN-GRAT (Hierarchical Neural Network and Gradient Reversal) for text classification. Firstly, A Robustly Optimized BERT Pretraining Approach (RoBERTa) pretraining model is used to extract text features and feature gradient information; secondly, the original gradient information is passed through the gradient reversal layer designed to obtain the inverted gradient information; finally, the original gradient information and the inverted gradient information are fused to obtain the new gradient of the model. HNN-GRAT method are tested on three real datasets and five attack methods, compared with RoBERTa pretraining model, HNN-GRAT improves the robustness accuracy and reduces the probability of the model being attacked. In addition, using six text defense methods, HNN-GRAT achieves the best Boa and Succ (Such as, DeepWordBug attack, for AGNEWS, IMDB, SST-2 datasets, with an improvement of Boa up to 41.50%, 67.50%, 28.15% and Succ drop to 55.90%, 27.45%, 69.89%, respectively).",,8,,,
,,"Dai, Shanghong",,,,,,,,,Adversarial training,,,,,,
,,"Fiumara, Giacomo",,,,,,,,,Text classification,,,,,,
,,"De Meo, Pasquale",,,,,,,,,Neural networks,,,,,,
,,,,,,,,,,,Adversarial sample,,,,,,
JOUR,Isomer: Transfer enhanced dual-channel heterogeneous dependency attention network for aspect-based sentiment classification,"Cao, Yukun",Knowledge-Based Systems,256,109879,2022,2022/11/28/,0950-7051,https://doi.org/10.1016/j.knosys.2022.109879,https://www.sciencedirect.com/science/article/pii/S0950705122009728,Aspect-based sentiment analysis,"Aspect-based sentiment classification aims to predict the sentiment polarity of a specific aspect in a sentence. However, most existing methods attempt to construct dependency relations into a homogeneous dependency graph with sparsity and ambiguity, which only considers one type of node and one type of edge, thus cannot cover the comprehensive contextualized features of short texts or consider any additional node types or semantic relation information. To solve those issues, we present a sentiment analysis model, Isomer, which performs dual-channel attention on heterogeneous dependency graphs incorporating external knowledge to integrate additional information effectively. Specifically, a transfer-enhanced dual-channel heterogeneous dependency attention network is designed in Isomer for modeling short texts by heterogeneous dependency graphs. These heterogeneous dependency graphs not only consider different types of information but also incorporate external knowledge. Experiments studies show that Isomer outperforms the-state-of-arts on diverse datasets. Furthermore, the results suggest that Isomer captures the importance of various information features to focus on informative contextual words.",,,,,
